Provinsi,GDP,Unemployment Rate,Inflation Rate,Income Average per hour,Industrial Production Index,Population Density (per KM),Children,Teen,Adult,Senior,SD / Sederajat,SMP / Sederajat,SMA / Sederajat,Perkotaan,Perdesaan,Digital Wallet Adoption Rate,Panjang Jalan Negara (km),Panjang Jalan Provinsi (km),Panjang Jalan Kabupaten/Kota (km),Jumlah Panjang Jalan(km),Area,Ports,Airports,Pasar Tradisional 2019,Pusat Perbelanjaan 2019,Toko Swalayan 2019,Jumlah Bencana Alam,Micro Business,Small Business,Household Consumptions,Market Potential,Cluster,color
KALIMANTAN TENGAH,0.069187425,-0.086021096,-0.07873422,0.33237833,-0.36744103,-0.25448626,-0.42840126,-0.40511,-0.40194935,-0.4147612,0.36531144,0.31466603,0.22403933,-0.39698157,-0.375296,-0.17991818,1.0736746,-0.14571506,0.40275615,0.4242513,2.7121396,0.09387936,0.22212875,0.17564094,-0.5047606,-0.34254152,0.33940366,-0.43299273,-0.3129116,-0.4255356,-0.24151042,Cluster 3,green
SUMATERA UTARA,-0.09459279,0.80504483,0.37352973,0.0020778363,-0.35471916,-0.1810376,0.9308581,0.84166485,0.65464336,0.44498482,0.40818137,0.50895137,0.690301,0.58151174,0.8448943,-0.14411871,1.7494926,1.3790518,2.4538314,2.47665,0.61382157,-0.7979745,0.030290283,0.9555657,0.22704092,-0.36591062,0.42447844,0.047346003,-0.15862314,0.48325762,-0.12866136,Cluster 3,green
ACEH,-0.48540717,0.80973476,-0.20049757,-0.0009158236,-0.024776943,-0.22542103,-0.11423091,-0.128101,-0.18554492,-0.2283737,0.41923386,0.5161075,0.6916331,-0.30558762,0.097566195,-0.18679492,1.0968014,0.30274576,0.8450157,0.8706168,0.20894356,-0.73851764,0.41396725,0.14135854,-0.389213,-0.5061251,0.53223985,-0.0022710783,-0.32180697,-0.33777726,-0.556488,Cluster 3,green
KALIMANTAN BARAT,-0.36840037,0.31261367,-0.18310282,0.21338032,-0.2640109,-0.24702357,-0.13449085,-0.12950808,-0.15708257,-0.21746188,0.29363823,0.051325362,-0.14674966,-0.28041893,0.085066475,-0.17556965,1.3229306,0.08555004,0.2898366,0.3658501,2.5461345,-0.7979745,-0.16154818,-0.41358793,-0.35069713,0.031363767,-0.14835851,-0.35567838,-0.314752,-0.31249294,-0.41405702,Cluster 3,green
SUMATERA BARAT,-0.30052602,0.8613228,0.42571405,-0.11205544,-0.5504089,-0.20931731,-0.13591596,-0.11134489,-0.16209403,-0.103837535,0.30971432,0.37656552,0.43319094,-0.18379322,-0.061100654,-0.17283921,0.21155666,0.076756686,0.6655374,0.62076855,-0.1723356,-0.6790607,-0.35338664,0.169213,-0.19663365,-0.085481636,-0.034925442,-0.11375694,-0.24162604,-0.25600147,-0.5173559,Cluster 3,green
RIAU,1.3425636,-0.034433223,0.06042395,0.10236544,-0.64080685,-0.23209818,0.016877268,-0.025552848,-0.07164391,-0.23549302,0.38607642,0.37191394,0.39544603,-0.19597307,0.19158179,-0.17051324,-0.0055788476,1.1979088,0.8854114,0.92188215,1.0666124,-0.7979745,-0.06562895,0.5956004,-0.0040543023,0.054732844,0.6683595,-0.3248482,-0.23500054,0.12076729,0.27442324,Cluster 3,green
SUMATERA SELATAN,-0.00812295,0.08750224,-0.35705048,-0.16456924,-0.4403593,-0.22502825,0.20525753,0.13123317,0.111410186,0.028158868,0.3689956,0.27995944,0.2631164,-0.11180899,0.5288952,-0.1611083,0.4145591,0.067084,0.5023849,0.48819217,0.98462576,-0.73851764,-0.35338664,0.9019994,-0.15811779,-0.38927966,-0.32417974,-0.18201856,-0.26653305,0.16949585,-0.30737767,Cluster 3,green
LAMPUNG,-0.38642645,0.03591414,-0.32226098,-0.45333266,-0.33320567,-0.1586495,0.21752097,0.16831008,0.16794044,0.12961456,0.40550193,0.26994106,0.25112695,-0.14536396,0.7112416,-0.16515344,0.05095347,0.22448497,0.6365488,0.5987977,-0.39385206,-0.26286218,-0.35338664,0.48632523,-0.23514952,0.078101926,-0.38656795,-0.13111986,-0.23776117,-0.023083622,-0.6237973,Cluster 3,green
DKI JAKARTA,3.7571461,1.2834065,-0.6353668,3.088666,0.26182786,6.0141797,0.27985883,0.2936765,0.36013114,0.20211507,0.4051672,0.5626213,1.2973292,0.8906487,-0.7516256,6.0754843,-1.5486543,4.3916535,-1.2235366,-0.74198884,-1.2465495,-0.38177603,-0.5452251,-0.42644382,2.7305725,-0.38927966,-0.70985216,-0.3226715,0.27105337,3.6169934,4.7205095,Cluster 2,lightblue
JAWA TENGAH,-0.43585172,0.5283455,-0.844104,-0.5253053,-0.6492881,0.1783502,2.5804994,2.6036327,2.7127626,3.063423,0.39712888,0.37620765,-0.023745533,2.0350087,3.4973183,-0.0819247,0.4145591,0.9349876,1.574545,1.5427941,-0.3739728,0.03442243,-0.06562895,3.2096338,1.4980646,3.7236784,2.7611995,3.8023865,1.8570038,1.463143,1.1063597,Cluster 1,orange
JAWA BARAT,-0.31886122,1.8133566,-0.6701563,0.4492558,-0.68228227,0.28007853,4.0275497,4.0466,3.8163161,3.0641487,0.41956857,0.40411597,0.3368303,4.6205287,1.894282,0.091207236,0.67409384,0.81188077,1.3141708,1.3150105,-0.30382332,-0.44123298,-0.16154818,0.867717,4.001596,3.2562969,3.980605,2.6671188,1.7901353,2.852237,1.963102,Cluster 1,orange
